"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
48,"宅地(土地と建物)","住宅地","30201","和歌山県","和歌山市","加太","加太(和歌山)","1H?1H30",800000,"","","160",,"ほぼ整形","14.0","30","昭和51年","軽量鉄骨造","住宅","","南","私道",1.0,"市街化調整区域",60,200,"2020年第４四半期","","関係者間取引"
49,"宅地(土地)","住宅地","30201","和歌山県","和歌山市","加太","加太(和歌山)","21",1100000,"22000","","160",6600,"ほぼ長方形","11.0","","","","","その他","南東","市道",6.0,"市街化調整区域",60,200,"2020年第４四半期","",""
50,"宅地(土地と建物)","住宅地","30201","和歌山県","和歌山市","加太","加太(和歌山)","26",1200000,"","","180",,"ほぼ正方形","13.5","105","平成15年","木造","住宅","住宅","北西","市道",6.0,"市街化調整区域",60,200,"2020年第４四半期","",""
51,"林地","","30201","和歌山県","和歌山市","加太","","",4100000,"","","1100",,"","","","","","","","","",,"",,,"2020年第４四半期","",""
52,"林地","","30201","和歌山県","和歌山市","加太","","",3000000,"","","620",,"","","","","","","","","",,"",,,"2020年第４四半期","",""
53,"宅地(土地)","住宅地","30201","和歌山県","和歌山市","片岡町","和歌山市","23",70000000,"200000","","1200",60000,"不整形","17.0","","","","","その他","東","市道",10.0,"第１種中高層住居専用地域",60,200,"2020年第４四半期","","私道を含む取引"
54,"宅地(土地と建物)","住宅地","30201","和歌山県","和歌山市","川辺","紀伊","30分?60分",800000,"","","360",,"ほぼ整形","17.0","150","","木造","住宅","倉庫","南西","道路",1.8,"市街化調整区域",60,200,"2020年第４四半期","",""
55,"宅地(土地と建物)","住宅地","30201","和歌山県","和歌山市","梶取","紀ノ川","13",22000000,"","","140",,"ほぼ台形","11.0","100","令和2年","木造","住宅","住宅","西","私道",6.0,"第１種住居地域",60,200,"2020年第４四半期","",""
56,"宅地(土地と建物)","住宅地","30201","和歌山県","和歌山市","梶取","紀ノ川","13",39000000,"","","135",,"不整形","13.0","100","令和2年","木造","住宅","住宅","南","私道",5.8,"第１種住居地域",60,200,"2020年第４四半期","",""
57,"宅地(土地と建物)","住宅地","30201","和歌山県","和歌山市","梶取","紀ノ川","11",20000000,"","","125",,"ほぼ正方形","10.0","90","令和2年","木造","住宅","住宅","東","私道",5.8,"第１種住居地域",60,200,"2020年第４四半期","",""
58,"中古マンション等","","30201","和歌山県","和歌山市","北休賀町","和歌山","15",13000000,"","１Ｋ","75",,"","","","","ＲＣ","","住宅","","",,"商業地域",80,400,"2020年第４四半期","未改装",""
59,"宅地(土地と建物)","住宅地","30201","和歌山県","和歌山市","北出島","宮前","14",39000000,"","","150",,"ほぼ長方形","14.0","","","","","住宅","南","私道",6.0,"第１種住居地域",60,200,"2020年第４四半期","",""
